Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Finra fee (EUR),Notes,ID
Market sell,2020-10-29 13:47:43,US12648L6011,CTIC,"CTI BioPharma ",5.0000000000,3.14,USD,1.17013,-1.67,13.42,,,,,,EOF514152713
Market sell,2020-10-29 13:48:44,US12674W1099,CABA,"Cabaletta Bio",1.0000000000,11.52,USD,1.17017,-0.28,9.84,,,,,,EOF514159606
Market sell,2020-10-29 13:54:53,US8172251055,AIHS,"Senmiao Technology ",10.0000000000,1.13,USD,1.16919,-0.66,9.66,,,,,,EOF514198962
Market buy,2020-10-30 15:06:00,US88160R1014,TSLA,"Tesla",0.1000000000,384.69,USD,1.16791,,32.94,,,,,,EOF517028828
Market buy,2020-10-30 15:22:28,US62914V1061,NIO,"NIO Inc",1.0000000000,30.75,USD,1.16813,,26.32,,,,,,EOF517139986
Market buy,2020-11-02 15:05:39,US62914V1061,NIO,"NIO Inc",1.0000000000,33.75,USD,1.16339,,29.01,,,,,,EOF519655675
Market buy,2020-11-02 15:40:08,US62914V1061,NIO,"NIO Inc",1.0000000000,32.97,USD,1.16292,,28.35,,,,,,EOF519854973
Market buy,2020-11-09 15:40:31,US62914V1061,NIO,"NIO Inc",1.0000000000,44.35,USD,1.18294,,37.49,,,,,,EOF535182855
Market sell,2020-11-09 16:14:09,US00287Y1091,ABBV,"AbbVie",1.0000000000,95.18,USD,1.18087,5.72,80.60,,,,,,EOF535603182
Market sell,2020-11-09 16:14:42,US7561091049,O,"Realty Income",1.0000000000,61.41,USD,1.18089,0.16,52.00,,,,,,EOF535608658
Market sell,2020-11-09 16:19:34,US00206R1023,T,"AT&T",1.0000000000,28.22,USD,1.18117,-0.05,23.89,,,,,,EOF535655350
Market sell,2020-11-09 16:20:22,US00547W2089,ADMP,"Adamis",20.0000000000,0.74,USD,1.18129,-3.67,12.47,,,,,,EOF535663273
Market sell,2020-11-09 16:31:51,US8585681088,SCM,"Stellus Capital Investment",3.0000000000,9.03,USD,1.18092,0.77,22.94,,,,,,EOF535768229
Market sell,2020-11-09 16:32:15,US00123Q1040,AGNC,"AGNC Investment",2.0000000000,14.33,USD,1.18087,0.26,24.27,,,,,,EOF535771128
Market sell,2020-11-09 16:34:29,US4831191030,KALA,"Kala Pharmaceuticals",6.0000000000,7.14,USD,1.18142,-8.40,36.26,,,,,,EOF535785443
Market sell,2020-11-09 16:34:42,US34960Q1094,FBIO,"Fortress Biotech",13.0000000000,2.44,USD,1.18140,-23.53,26.85,,,,,,EOF535787217
Market sell,2020-11-09 16:37:13,US88160R1014,TSLA,"Tesla",0.1000000000,439.26,USD,1.18167,2.25,37.17,,,,,,EOF535803741
Market buy,2020-11-09 16:42:30,US62914V1061,NIO,"NIO Inc",9.0000000000,44.57,USD,1.18146,,339.52,,,,,,EOF535837754
Limit buy,2020-11-09 17:16:09,US62914V1061,NIO,"NIO Inc",2.0000000000,44.00,USD,1.18112,,74.51,,,,,,EOF536026950
Market sell,2020-11-12 15:01:05,US62914V1061,NIO,"NIO Inc",10.0000000000,45.17,USD,1.17944,72.72,382.98,,,,,,EOF545836251
Market buy,2020-11-12 15:26:49,US62914V1061,NIO,"NIO Inc",8.0000000000,46.10,USD,1.18050,,312.41,,,,,,EOF546028433
Dividend (Ordinary),2020-11-13 15:34:15,US00123Q1040,AGNC,"AGNC Investment",2.0000000000,0.10,USD,Not available,,0.17,0.04,USD,,,,
Dividend (Ordinary),2020-11-16 19:43:14,US7561091049,O,"Realty Income",1.0000000000,0.20,USD,Not available,,0.17,0.04,USD,,,,
Market buy,2020-11-17 08:04:08,DE000A27Z304,BTCE,"Bitcoin ETP",2.0000000000,14.05,EUR,1.00000,,28.11,,,,,,EOF555344943
Market sell,2020-11-17 14:38:13,US88160R1014,TSLA,"Tesla",0.1000000000,452.50,USD,1.18762,3.17,38.10,,,,,,EOF556515677
Market buy,2020-11-17 15:06:40,US62914V1061,NIO,"NIO Inc",1.0000000000,45.54,USD,1.18674,,38.37,,,,,,EOF556868759
Market sell,2020-11-17 15:10:56,US62914V1061,NIO,"NIO Inc",1.0000000000,45.83,USD,1.18664,4.19,38.62,,,,,,EOF556907391
Market sell,2020-11-17 15:12:54,US62914V1061,NIO,"NIO Inc",10.0000000000,46.21,USD,1.18680,45.03,389.37,,,,,,EOF556924515
Market buy,2020-11-17 15:19:28,US98873Q1004,CTIB,"Yunhong CTI ",10.0000000000,2.70,USD,1.18669,,22.75,,,,,,EOF556975623
Market sell,2020-11-17 15:31:09,US98873Q1004,CTIB,"Yunhong CTI ",10.0000000000,2.38,USD,1.18688,-2.70,20.05,,,,,,EOF557065159
Market sell,2020-11-17 15:35:52,US55336V1008,MPLX,"MPLX LP",2.0000000000,20.06,USD,1.18614,4.42,33.82,,,,,,EOF557099305
Market sell,2020-11-18 12:27:29,IE00B1XNHC34,INRG,"iShares Global Clean Energy",9.0000000000,946.25,GBX,89.40659,1.73,95.25,,,,,,EOF559404366
Market buy,2020-11-18 14:33:54,US62914V1061,NIO,"NIO Inc",5.0000000000,45.07,USD,1.18671,,189.89,,,,,,EOF559851657
Market buy,2020-11-18 14:35:47,US98422D1054,XPEV,"XPeng",10.0000000000,42.47,USD,1.18672,,357.87,,,,,,EOF559885888
Dividend (Ordinary),2020-11-18 15:27:30,US00287Y1091,ABBV,"AbbVie",1.0000000000,1.00,USD,Not available,,0.85,0.18,USD,,,,
Dividend (Return of capital),2020-11-19 09:31:42,US55336V1008,MPLX,"MPLX LP",2.0000000000,0.69,USD,Not available,,1.16,0.00,USD,,,,
Market buy,2020-11-20 14:45:11,US70450Y1038,PYPL,"PayPal",0.3000000000,192.68,USD,1.18745,,48.68,,,,,,EOF567036090
Dividend (Ordinary),2020-11-30 10:58:06,IE00B1XNHC34,INRG,"iShares Global Clean Energy",19.0000000000,3.09,GBX,Not available,,0.65,0.00,GBX,,,,
Market sell,2020-12-02 19:28:47,US70450Y1038,PYPL,"PayPal",0.3000000000,212.44,USD,1.21005,3.99,52.67,,,,,,EOF624856216
Market sell,2020-12-03 08:04:28,DE000A27Z304,BTCE,"Bitcoin ETP",2.0000000000,15.69,EUR,1.00000,3.28,31.39,,,,,,EOF625398940
Market sell,2020-12-03 08:05:42,IE00B1XNHC34,INRG,"iShares Global Clean Energy",10.0000000000,989.00,GBX,90.60360,5.24,109.16,,,,,,EOF625405261
